patent_id,abstract_tokens,claims_tokens,cpc3_list,num_cpc3,has_claims
10024498,220,0,,0,0
10106875,221,0,,0,0
10241539,162,0,,0,0
10345449,195,0,,0,0
10511039,141,0,,0,0
10619794,135,0,,0,0
10723403,153,0,,0,0
3933311,165,0,,0,0
3961089,146,0,,0,0
4032424,26,0,,0,0
4046791,160,0,,0,0
4127693,202,0,,0,0
4226356,278,0,,0,0
4273345,99,0,,0,0
4346324,366,0,,0,0
4347233,73,0,,0,0
4434102,82,0,,0,0
4588395,233,0,,0,0
4681412,78,0,,0,0
4789941,170,0,,0,0
4966257,112,0,,0,0
5040501,433,0,,0,0
5196759,135,0,,0,0
5267081,209,0,,0,0
5392034,118,0,,0,0
5408642,199,0,,0,0
5417543,242,0,,0,0
5442184,150,0,,0,0
5446291,290,0,,0,0
5462001,105,0,,0,0
5481395,130,0,,0,0
5485307,97,0,,0,0
5485359,201,0,,0,0
5493551,143,0,,0,0
5493580,116,0,,0,0
5510009,129,0,,0,0
5543179,194,0,,0,0
5568961,161,0,,0,0
5569009,184,0,,0,0
5569282,146,0,,0,0
5570342,167,0,,0,0
5581663,298,0,,0,0
5619616,148,0,,0,0
5624544,204,0,,0,0
5647173,64,0,,0,0
5650591,152,0,,0,0
5650983,101,0,,0,0
5650990,340,0,,0,0
5651055,236,0,,0,0
5667294,144,0,,0,0
5680467,150,0,,0,0
5680468,122,0,,0,0
5687451,233,0,,0,0
5694827,193,0,,0,0
5702511,177,0,,0,0
5717390,281,0,,0,0
5724415,118,0,,0,0
5724478,254,0,,0,0
5724625,245,0,,0,0
5746360,214,0,,0,0
5762779,112,0,,0,0
5824184,157,0,,0,0
5832187,396,0,,0,0
5878529,81,0,,0,0
5900819,142,0,,0,0
5951698,298,0,,0,0
5992588,256,0,,0,0
5999869,179,0,,0,0
6014447,192,0,,0,0
6050219,239,0,,0,0
6053805,212,0,,0,0
6056428,350,0,,0,0
6065555,223,0,,0,0
6073286,278,0,,0,0
6090087,368,0,,0,0
6098208,341,0,,0,0
6099018,254,0,,0,0
6099150,174,0,,0,0
6099428,211,0,,0,0
6099658,234,0,,0,0
6108975,127,0,,0,0
6113853,160,0,,0,0
6162962,165,0,,0,0
6166359,349,0,,0,0
6176374,334,0,,0,0
6179727,197,0,,0,0
6182299,196,0,,0,0
6203313,161,0,,0,0
